Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
540,Xinzhai,113.42,34.51,SA00020,Bone,FALSE,3490,30,,,,C.Zhao 2033,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00018,Bone,FALSE,3500,30,,,,C.Zhao 2021,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00007,Bone,FALSE,3590,30,,,,C.Zhao 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
540,Xinzhai,113.42,34.51,SA00014-1,Bone,FALSE,3740,30,,,,C.Zhao 2007,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
541,Xishanping,105.67,34.52,TKa13890,Rice,TRUE,4430,100,,,,Li et al. 2007,"Wheat, millet, rice",TRUE,,,,TRUE,TRUE,,,,,,,,,,
541,Xishanping,105.67,34.52,TKa13889,Charred millet seeds,TRUE,4490,35,,,,Li et al.2007,"Wheat, millet, rice",TRUE,,,,TRUE,TRUE,,,,,,,,,,
541,Xishanping,105.67,34.52,TKa13884,Wheat phytoliths,TRUE,4870,35,,,,"Li et al., 2007","Wheat, millet, rice",TRUE,,,,TRUE,TRUE,,,,,,,,,,
542,Xuejiagang,116.58,30.63,WB80-45,Charcoal,FALSE,4450,145,,,,An 1999,Rice,,,,,,TRUE,,,,,,,,,,
542,Xuejiagang,116.58,30.63,WB80-47,Charcoal,FALSE,4340,130,,,,An 1999,Rice,,,,,,TRUE,,,,,,,,,,
542,Xuejiagang,116.58,30.63,WB80-46,Charcoal,FALSE,4490,85,,,,An 1999,Rice,,,,,,TRUE,,,,,,,,,,
543,Xujiawan,120.67,31.88,,,FALSE,,,6000-5300 BP,7950,7250,,Rice,,,,,,TRUE,,,,,,,,,,
544,Yaerhu Grottoes,89.06,42.94,ZK-2381,Wheat straws and wand,TRUE,1420,50,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Wheat,TRUE,,,,,,,,,,,,,,,
545,Yaluhu ,102.33,35.9,BA120189 ,Foxtail Millet,TRUE,3940,25,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090341,Wood charcoal,FALSE,2790,40,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090339,Wood charcoal,FALSE,3075,40,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090336,Bone,FALSE,2960,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090342,Bone,FALSE,3005,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090335,Bone,FALSE,3090,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090338,Bone,FALSE,3095,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090343,Bone,FALSE,3165,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090340,Bone,FALSE,3185,35,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
546,Yan'erlong,100.91,31.6,BA090337,Bone,FALSE,3300,30,,,,Sichuan 2012,"wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
547,Yanghai,89.65,42.8,BA07172,Grape vine,TRUE,2245,35,,,,Jiang et al.2009,"Naked Barley, Breadwheat, Broomcorn millet",TRUE,TRUE,,TRUE,,,,,,,,,,,,
